Title,Date Created,Latitude,Longitude,Northing,Easting,Description,Species,Quarter,NewControl
Box Glove Bugs,2021-04-19T10:32:15+02:00,-24.2281289139057,30.9150313676579,7318934.73827903,288279.900704423,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T10:37:00+02:00,-24.2284462117691,30.914726813312,7318899.13019432,288249.490483995,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T10:42:41+02:00,-24.2280431263566,30.9144416771582,7318943.345639,288219.860363579,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T10:55:19+02:00,-24.2280480745539,30.9145890195025,7318943.02119778,288234.83499476,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T10:56:53+02:00,-24.2280253655049,30.9146626910424,7318945.64841345,288242.280665704,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T10:57:42+02:00,-24.2279150073557,30.9145950537552,7318957.76970541,288235.227680465,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T11:00:04+02:00,-24.2280235148394,30.9147390603514,7318945.96931566,288250.034889572,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T11:01:05+02:00,-24.2279073548672,30.9149235026864,7318959.11583658,288268.577563904,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T11:02:33+02:00,-24.2279694709954,30.915067989666,7318952.45473632,288283.35677053,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T11:03:22+02:00,-24.2278734533372,30.9150256530698,7318963.0259995,288278.897495716,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T11:07:13+02:00,-24.2280348428646,30.9155654829603,7318945.96860104,288333.998296066,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T11:09:12+02:00,-24.2282213186571,30.9153428756177,7318924.97564688,288311.695288324,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs,2021-04-19T11:10:30+02:00,-24.2276830839485,30.9149641781911,7318984.01919932,288272.338082476,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T10:34:55+02:00,-24.2282282034898,30.9149811206702,7318923.66409775,288274.961134854,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T10:35:28+02:00,-24.2282225356392,30.9149567533444,7318924.2549245,288272.476624517,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T10:37:42+02:00,-24.2284853211549,30.9146974234219,7318894.75358859,288246.56991803,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T10:45:39+02:00,-24.228482269079,30.9135530858791,7318893.3543096,288130.328055015,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T10:49:33+02:00,-24.2279040998128,30.9141282673611,7318958.26930544,288187.795292876,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T10:52:33+02:00,-24.2279973487922,30.9145586652852,7318948.59382444,288231.667774464,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T10:53:47+02:00,-24.2280572412752,30.9145134044926,7318941.89106029,288227.169500622,Under tree small ones,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T11:04:53+02:00,-24.2280008522519,30.9152106916426,7318949.19529731,288297.903792303,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T11:05:34+02:00,-24.2280563957336,30.9152799799898,7318943.14809457,288305.033727301,,boxing glove cactus,2021 - Quarter 1,Bio
Box Glove Bugs ,2021-04-19T11:06:30+02:00,-24.2281267534609,30.9153573328802,7318935.4722077,288313.007330497,,boxing glove cactus,2021 - Quarter 1,Bio
BOx Glove Bugs ,2021-04-19T10:29:41+02:00,-24.2280712624396,30.9150388975286,7318941.13553883,288280.570154367,,boxing glove cactus,2021 - Quarter 1,Bio
"Box Glove, Bugs ",2021-04-19T10:33:04+02:00,-24.2280761033574,30.9150827674707,7318940.66590189,288285.034294828,,boxing glove cactus,2021 - Quarter 1,Bio
Camp,2021-01-08T14:01:47+02:00,-24.2013775839445,30.8531511452282,7321802.65412672,281948.717949496,,boxing glove cactus,2021 - Quarter 1,Untreated
Cluster Box Glove Bugs ,2021-04-19T10:40:12+02:00,-24.2282073285658,30.9142524275113,7318924.87029412,288200.908975827,,boxing glove cactus,2021 - Quarter 1,Bio
Cluster Box Glove Bugs ,2021-04-19T10:59:05+02:00,-24.22805333327,30.9146998734725,7318942.60696527,288246.103796507,,boxing glove cactus,2021 - Quarter 1,Bio
